query,runs,warehouse_size,avg_execution_time_ms,min_execution_time_ms,max_execution_time_ms,avg_data_scanned_bytes,avg_data_scanned_human,avg_rows_read,rows_returned,avg_dbus_consumed_estimated,total_dbus_consumed_estimated_5runs
q24a,5,2X-Small,148031.8,139970,158160,48640217495.8,45.3GB,5962779308.8,2919,0.16448,0.822399
q24b,5,2X-Small,127521.2,111362,147464,47982826282.4,44.7GB,5957980162.8,322,0.14169,0.708452
q34,5,2X-Small,3472,2990,4862,924442491.8,881.6MB,380805917.6,8489,0.003858,0.019288
q39a,5,2X-Small,2907.2,2492,3308,98965322.4,94.4MB,24300079,14551,0.00323,0.016151
q39b,5,2X-Small,2831.2,2586,3153,99098231,94.5MB,24300079,594,0.003146,0.015728
q52,5,2X-Small,1343,1075,1950,520880912.2,496.8MB,88798449,100,0.001492,0.007461
q64,5,2X-Small,43609.6,39664,51260,34640508257.4,32.3GB,2935822979.2,12185,0.048455,0.242276
q72,5,2X-Small,18759,16920,24098,4809078428.6,4.5GB,578079250,100,0.020843,0.104217
q82,5,2X-Small,6034,5115,8644,8727239353.4,8.1GB,2851298108,19,0.006704,0.033521
q95,5,2X-Small,13634.4,5335,43113,2879050393.2,2.7GB,901972790.4,1,0.015149,0.075747
q99,5,2X-Small,8347.6,7911,9139,1162523621.6,1.1GB,406129852,100,0.009275,0.046375
