user_id,query,run,statement_id,state,submit_epoch_rel_s,end_epoch_rel_s,wall_clock_s,execution_time_ms,queue_time_ms,total_time_ms,compilation_time_ms,data_scanned_bytes,rows_read,rows_returned,spill_to_disk_bytes,result_from_cache,warehouse_size,dbus_consumed_estimated
5,q24a,1,01f1942a-9c4d-13aa-98e0-eea9fb9b5e55,SUCCEEDED,17.228,29.491,12.26,2777,79,11774,8918,632039,385,0,0,False,2X-Small,0.003086
1,q24a,1,01f1942a-9c4d-1750-9aa2-dc12947afbbd,SUCCEEDED,17.23,29.501,12.27,2815,70,11826,8941,632039,385,0,0,False,2X-Small,0.003128
2,q24a,1,01f1942a-9c4d-1b53-bf10-081aa170fd69,SUCCEEDED,17.286,29.509,12.22,2813,71,11832,8948,588904,385,0,0,False,2X-Small,0.003126
4,q24a,1,01f1942a-9c4c-1f5e-895b-c1362f301236,SUCCEEDED,17.228,29.727,12.5,2976,131,12048,8941,316019,385,0,0,False,2X-Small,0.003307
3,q24a,1,01f1942a-9c4d-1be0-a7cd-de777c7ff0b7,SUCCEEDED,17.231,29.837,12.61,3155,103,12125,8867,588904,385,0,0,False,2X-Small,0.003506
1,q24b,1,01f1942a-a3e2-143c-abc4-e61966236d49,SUCCEEDED,30.003,35.426,5.42,1297,130,5046,3619,316020,43,0,0,False,2X-Small,0.001441
5,q24b,1,01f1942a-a3df-1e21-8af0-590c87e9d821,SUCCEEDED,29.992,35.623,5.63,1388,30,5059,3641,10740,0,0,0,False,2X-Small,0.001542
2,q24b,1,01f1942a-a3e8-11d8-907d-14a870fdc003,SUCCEEDED,30.046,35.895,5.85,1447,21,4642,3174,316020,43,0,0,False,2X-Small,0.001608
4,q24b,1,01f1942a-a407-1b4f-b271-7f56c1a351ea,SUCCEEDED,30.259,35.949,5.69,1930,89,5320,3301,10740,0,0,0,False,2X-Small,0.002144
3,q24b,1,01f1942a-a413-1bd2-9f74-965a670687c0,SUCCEEDED,30.333,36.807,6.47,2259,102,6136,3775,10740,0,0,0,False,2X-Small,0.00251
1,q34,1,01f1942a-a76f-1ee2-8107-cfa3a6b19a9c,SUCCEEDED,35.961,44.977,9.02,5447,28,8366,2891,17268297,127039,218,0,False,2X-Small,0.006052
5,q34,1,01f1942a-a791-144a-b6ee-84de53c951eb,SUCCEEDED,36.176,45.236,9.06,5518,27,8225,2680,17292773,127039,218,0,False,2X-Small,0.006131
4,q34,1,01f1942a-a7bb-1382-b071-f772b6a171c6,SUCCEEDED,36.46,45.453,8.99,5144,27,7767,2596,17292773,127039,218,0,False,2X-Small,0.005716
2,q34,1,01f1942a-a7b2-17b2-b2c3-fb06a322aeb9,SUCCEEDED,36.397,45.49,9.09,5389,28,7962,2545,28157814,127039,218,0,False,2X-Small,0.005988
