query,concurrent_users,warehouse_size,avg_execution_time_ms,min_execution_time_ms,max_execution_time_ms,avg_queue_time_ms,max_queue_time_ms,avg_data_scanned_bytes,avg_data_scanned_human,avg_rows_read,rows_returned
q24a,5,2X-Small,2907.2,2777,3155,90.8,131,551581,538.7KB,385,0
q24b,5,2X-Small,1664.2,1297,2259,74.4,130,132852,129.7KB,17.2,0
q34,5,2X-Small,5380.2,5144,5518,27.2,28,20590636.4,19.6MB,127039,218
q39a,5,2X-Small,7443.6,6904,7955,25.6,29,2306119,2.2MB,378064,206
q39b,5,2X-Small,5511.2,4122,7037,25.2,30,2209908,2.1MB,378064,10
q52,5,2X-Small,2484.6,2244,2878,25.6,28,4316208.6,4.1MB,2103,100
q64,5,2X-Small,30147.6,26936,32459,26,31,230446740,219.8MB,7859726,9
q72,5,2X-Small,9202.4,6719,10477,24.8,32,86477959.4,82.5MB,11825342,100
q82,5,2X-Small,4397.6,4112,4881,26,35,119867316,114.3MB,255910,4
q95,5,2X-Small,6270.6,5884,6725,22,27,149496850.8,142.6MB,792448,1
q99,5,2X-Small,3892,3202,4213,26.8,31,102739324.8,98.0MB,285857,90
