user_id,queries_run,user_start_s,user_end_s,user_total_wall_s,sum_execution_time_ms,sum_queue_time_ms
1,11,17.23,151.94,134.71,78983,420
2,11,17.29,151.96,134.68,81680,314
3,11,17.23,150.82,133.59,82327,443
4,11,17.23,151.5,134.27,75906,450
5,11,17.23,151.95,134.72,77610,345
