query,sequential_ms,5users_concurrent_ms,slowdown_x,avg_queue_ms,max_queue_ms
q24a,148031.8,533503.6,3.6,40.2,65
q24b,127521.2,317847,2.49,57958,289557
q34,3472,22569.6,6.5,4026.4,4713
q39a,2907.2,12173.4,4.19,26.4,33
q39b,2831.2,8021.8,2.83,1008.2,1740
q52,1343,3588.6,2.67,24,28
q64,43609.6,118098.4,2.71,49988.4,83870
q72,18759,53624.8,2.86,13532.2,42839
q82,6034,16491.6,2.73,10279.4,21310
q95,13634.4,14064,1.03,3954.2,6825
q99,8347.6,16238.4,1.95,3880.6,7031
