user_id,queries_run,user_start_s,user_end_s,user_total_wall_s,sum_execution_time_ms,sum_queue_time_ms
1,11,1.6,3002.61,3001.01,1205291,113652
2,11,1.58,2974.69,2973.11,1149701,43980
3,11,1.55,3013.67,3012.12,945114,407024
4,11,1.66,2954.77,2953.11,1116103,11014
5,11,1.57,3017.3,3015.73,1164897,147920
