query,2x_small_exec_ms,serverless_exec_ms,exec_diff_pct,2x_small_scanned_bytes,serverless_scanned_bytes,2x_small_rows_read,serverless_rows_read,rows_returned
q24a,832.6,823.4,-1.1,316019.8,316019.8,385,385,0
q24b,388.4,593.8,52.9,254964,316020,34.4,43,0
q34,1437,1475.2,2.7,17287877.8,17287877.8,127039,127039,218
q39a,1778.2,2183,22.8,2209172,2209172,378064,378064,206
q39b,1522.6,1586.8,4.2,2209908,2209908,378064,378064,10
q52,694.4,767,10.5,4316208.6,4316208.6,2103,2103,100
q64,6921,8109.4,17.2,225627456,228437352.2,7881025,7859726,9
q72,3986.6,3245,-18.6,86462027,86462026.4,11825342,11825342,100
q82,1902,1630.2,-14.3,119142228,119141104,255910,255910,4
q95,1776.6,2124.4,19.6,139193172,139193172,792448,792448,1
q99,954.8,1185.6,24.2,87968418.4,102739324.8,285857,285857,90
