user_id,query,run,statement_id,state,submit_epoch_rel_s,end_epoch_rel_s,wall_clock_s,execution_time_ms,queue_time_ms,total_time_ms,compilation_time_ms,data_scanned_bytes,rows_read,rows_returned,spill_to_disk_bytes,result_from_cache,warehouse_size,dbus_consumed_estimated
1,q24a,1,01f1943d-cfd8-1c0b-a0f2-3aefd1cd02e0,SUCCEEDED,22.305,1319.292,1296.99,1014184,132,1024483,10167,47222088255,5949039772,2919,0,False,2X-Small,1.126871
3,q24a,1,01f1943d-cfee-1ab5-ad00-b7e8877be132,SUCCEEDED,22.309,1319.29,1296.98,999152,204,1009447,10091,46972693214,5963896281,2919,0,False,2X-Small,1.110169
6,q24a,1,01f1943d-cfdf-1ae6-805e-861bf3f768c2,SUCCEEDED,22.306,1319.311,1297.01,1018427,152,1028560,9981,47347978047,5949039772,2919,0,False,2X-Small,1.131586
2,q24a,1,01f1943d-cfeb-1947-8045-575933e5be0b,SUCCEEDED,22.314,1319.312,1297.0,1023316,200,1033518,10002,47161689016,5949039772,2919,0,False,2X-Small,1.137018
4,q24a,1,01f1943d-cfec-1770-9726-5938d74aa613,SUCCEEDED,22.308,1319.314,1297.01,999283,190,1009518,10045,47346105355,5949039772,2919,0,False,2X-Small,1.110314
10,q24a,1,01f1943d-cfea-187c-8546-511dda9637e1,SUCCEEDED,22.311,1344.688,1322.38,1019772,153,1030009,10084,47028472452,5949039772,2919,0,False,2X-Small,1.13308
8,q24a,1,01f1943d-cfe2-1b1b-88f3-2585cc8bdcf2,SUCCEEDED,22.303,1344.687,1322.38,1006578,145,1016867,10144,46952979162,5949039772,2919,0,False,2X-Small,1.11842
5,q24a,1,01f1943d-cfe2-1e22-a874-688b0487334e,SUCCEEDED,22.2,1344.909,1322.71,1009213,171,1019393,10009,46993998224,5949039772,2919,0,False,2X-Small,1.121348
9,q24a,1,01f1943d-cfdb-102e-8c1c-91ef20d47a7b,SUCCEEDED,22.307,1344.911,1322.6,1017566,116,1027883,10201,47366803237,5949039772,2919,0,False,2X-Small,1.130629
7,q24a,1,01f1943d-cfda-1ecc-a60f-6140d567bbe2,SUCCEEDED,22.303,1348.023,1325.72,1028172,106,1038526,10248,47224101907,5949039772,2919,0,False,2X-Small,1.142413
4,q24b,1,01f19440-d5b1-1cf7-ab66-dad93fd0506c,SUCCEEDED,1320.899,1912.781,591.88,464033,27,466150,2090,47140511798,5960293200,322,0,False,2X-Small,0.515592
2,q24b,1,01f19440-d5b0-150f-8efa-fc2ee790003c,SUCCEEDED,1320.897,1913.635,592.74,456899,27,458748,1822,47151913834,5960293200,322,0,False,2X-Small,0.507666
1,q24b,1,01f19440-d573-1876-a16e-f5166b2cddec,SUCCEEDED,1320.571,1913.685,593.11,467665,75,469145,1405,47141849545,5960293200,322,0,False,2X-Small,0.519628
3,q24b,1,01f19440-d597-137c-b657-0d5d1af1e9ff,SUCCEEDED,1320.883,1913.684,592.8,444359,37,445806,1410,47133364429,5960293200,322,0,False,2X-Small,0.493732
6,q24b,1,01f19440-d598-14b8-9708-a062f8892198,SUCCEEDED,1320.892,1913.823,592.93,457337,29,458581,1215,47155474798,5960293200,322,0,False,2X-Small,0.508152
4,q34,1,01f19442-3722-1224-92c8-1a736bf9266e,SUCCEEDED,1913.825,2203.082,289.26,35124,250817,288434,2493,962817109,385592820,8489,0,False,2X-Small,0.039027
3,q34,1,01f19442-37ca-1f08-a5d7-ebb4b6b537b3,SUCCEEDED,1914.745,2203.299,288.55,35411,249795,287633,2427,960337191,385592820,8489,0,False,2X-Small,0.039346
6,q34,1,01f19442-37f5-180e-a92e-f4869fbe251b,SUCCEEDED,1915.268,2204.097,288.83,36187,249534,288122,2401,954824405,385592820,8489,0,False,2X-Small,0.040208
2,q34,1,01f19442-3796-19c9-b577-87f0c16ea7e5,SUCCEEDED,1914.565,2204.226,289.66,36302,250058,288852,2492,956956181,385592820,8489,0,False,2X-Small,0.040336
1,q34,1,01f19442-37c2-13ae-829a-1baca2e95866,SUCCEEDED,1914.743,2204.699,289.96,36786,249770,289051,2495,958287694,385592820,8489,0,False,2X-Small,0.040873
5,q24b,1,01f19440-e4ad-1981-a238-42a8c2d7b60d,SUCCEEDED,1346.247,2214.812,868.56,482807,383312,868096,1977,47076715665,5960293200,322,0,False,2X-Small,0.536452
7,q24b,1,01f19440-e638-111b-bfe2-4faa7f6194d1,SUCCEEDED,1348.771,2217.205,868.43,485193,380828,868007,1986,47074180920,5960293200,322,0,False,2X-Small,0.539103
10,q24b,1,01f19440-e4a0-1e83-bfbd-28ef2b42fb11,SUCCEEDED,1345.995,2218.929,872.93,487033,383395,872393,1965,47071464932,5960293200,322,0,False,2X-Small,0.541148
8,q24b,1,01f19440-e49e-1dc7-89c5-5bb91514a09f,SUCCEEDED,1345.997,2221.825,875.83,488542,383402,874063,2119,47071933798,5960293200,322,0,False,2X-Small,0.542824
4,q39a,1,01f19442-e3f0-117f-b12a-9c3a82962d2e,SUCCEEDED,2203.973,2221.855,17.88,14836,36,17047,2175,146272253,24300079,14551,0,False,2X-Small,0.016484
3,q39a,1,01f19442-e426-1952-badd-293426d62830,SUCCEEDED,2204.253,2222.105,17.85,14651,23,16522,1848,98437368,24300079,14551,0,False,2X-Small,0.016279
6,q39a,1,01f19442-e48c-134f-bc5f-9b4bd4881a3e,SUCCEEDED,2204.904,2223.08,18.18,15224,29,17274,2021,99098231,24300079,14551,0,False,2X-Small,0.016916
