query,concurrent_users,warehouse_size,avg_execution_time_ms,min_execution_time_ms,max_execution_time_ms,avg_queue_time_ms,max_queue_time_ms,avg_data_scanned_bytes,avg_data_scanned_human,avg_rows_read,rows_returned
q24a,10,2X-Small,1013566.3,999152,1028172,156.9,204,47161690886.9,43.9GB,5950525422.9,2919
q24b,10,2X-Small,472641,444359,492542,191452.7,383402,47109285552.6,43.9GB,5960293200,322
q34,10,2X-Small,25566.5,10069,36786,125928.2,250817,958957004,914.5MB,385592820,8489
q39a,10,2X-Small,12346.9,6251,15694,1478.9,6837,103749546.9,98.9MB,24300079,14551
q39b,10,2X-Small,15055.5,12340,16589,111.1,782,99098231,94.5MB,24300079,594
q52,10,2X-Small,6035.7,5065,6758,73173.7,147203,546491369.6,521.2MB,88798449,100
q64,10,2X-Small,202423.3,165756,234387,849.9,3426,32228314553,30.0GB,2978050578.4,12185
q72,10,2X-Small,90329,34456,242239,3232.4,17575,4831322312.4,4.5GB,578079250,100
q82,10,2X-Small,27372.2,17805,49669,25230.9,76200,8778745433,8.2GB,2851298108,19
q95,10,2X-Small,26189.1,8780,34645,5609.4,29728,2667049068.1,2.5GB,874991631,1
q99,10,2X-Small,29060.2,9407,38615,2402.9,23744,1168843936.3,1.1GB,406129852,100
