user_id,query,run,statement_id,state,submit_epoch_rel_s,end_epoch_rel_s,wall_clock_s,execution_time_ms,queue_time_ms,total_time_ms,compilation_time_ms,data_scanned_bytes,rows_read,rows_returned,spill_to_disk_bytes,result_from_cache,warehouse_size,dbus_consumed_estimated
5,q95,1,01f1942c-2a65-1856-9b63-6ac0eb800485,SUCCEEDED,159.609,171.462,11.85,7031,25,11471,4415,139193172,792448,1,0,False,2X-Small,0.007812
8,q82,1,01f1942c-2b29-15c0-9aff-3c6dbe43fa16,SUCCEEDED,160.888,172.435,11.55,5893,1728,9706,2085,119142228,255910,4,0,False,2X-Small,0.006548
1,q99,1,01f1942c-2def-1acf-839e-cef4e8e79f36,SUCCEEDED,165.54,174.456,8.92,4208,27,7466,3231,102739783,285857,90,0,False,2X-Small,0.004676
10,q99,1,01f1942c-2eb5-18f3-ac38-44c36089feca,SUCCEEDED,166.841,175.872,9.03,4747,21,6903,2135,102739783,285857,90,0,False,2X-Small,0.005274
7,q95,1,01f1942c-2d82-1825-a853-844a3f878d93,SUCCEEDED,164.832,177.234,12.4,6968,508,11802,4326,139193172,792448,1,0,False,2X-Small,0.007742
3,q95,1,01f1942c-2d9a-1d15-bff4-2d68b679475c,SUCCEEDED,164.984,178.686,13.7,8427,163,13212,4622,139193172,792448,1,0,False,2X-Small,0.009363
9,q99,1,01f1942c-2fd3-1288-a178-8ec503c411aa,SUCCEEDED,168.713,179.412,10.7,7364,376,10240,2500,102739783,285857,90,0,False,2X-Small,0.008182
2,q95,1,01f1942c-2f17-1ae1-8947-94a555027da7,SUCCEEDED,167.429,179.815,12.39,7236,21,11908,4651,139193172,792448,1,0,False,2X-Small,0.00804
5,q99,1,01f1942c-31dc-1355-b791-63b26f9aaac2,SUCCEEDED,172.119,181.066,8.95,4142,191,8215,3882,102739783,285857,90,0,False,2X-Small,0.004602
4,q95,1,01f1942c-2f67-13b4-a0dd-524c72e122e2,SUCCEEDED,168.005,181.258,13.25,6895,553,12853,5405,139193172,792448,1,0,False,2X-Small,0.007661
6,q95,1,01f1942c-30fe-136d-b937-aa872155fdf3,SUCCEEDED,170.669,182.259,11.59,5571,22,10960,5367,139193172,792448,1,0,False,2X-Small,0.00619
7,q99,1,01f1942c-3545-1ce0-81a4-0e82ab14d259,SUCCEEDED,177.852,183.421,5.57,2860,24,5005,2121,102739783,285857,90,0,False,2X-Small,0.003178
8,q95,1,01f1942c-3262-1cd8-8b57-af52be0fd8a0,SUCCEEDED,173.009,184.132,11.12,4361,671,9760,4728,139193172,792448,1,0,False,2X-Small,0.004846
3,q99,1,01f1942c-361d-1fb4-89f9-1f3e6004fc96,SUCCEEDED,179.27,185.468,6.2,2827,1482,5587,1278,102739783,285857,90,0,False,2X-Small,0.003141
2,q99,1,01f1942c-36da-1e8b-8f09-43d1b9b10c3f,SUCCEEDED,180.495,186.599,6.1,3377,26,5530,2127,102739783,285857,90,0,False,2X-Small,0.003752
4,q99,1,01f1942c-37b3-1c41-9e99-3b63743bdfad,SUCCEEDED,181.923,186.927,5.0,2648,27,4555,1880,102739783,285857,90,0,False,2X-Small,0.002942
6,q99,1,01f1942c-3843-1745-a9da-9516f4ca86c4,SUCCEEDED,182.864,189.019,6.16,3935,24,5604,1645,102739783,285857,90,0,False,2X-Small,0.004372
8,q99,1,01f1942c-3959-147b-9aae-9194f8b49546,SUCCEEDED,184.688,189.775,5.09,2473,25,4612,2114,102739783,285857,90,0,False,2X-Small,0.002748
