user_id,queries_run,user_start_s,user_end_s,user_total_wall_s,sum_execution_time_ms,sum_queue_time_ms
1,11,1.7,174.46,172.76,107997,362
2,11,2.36,186.6,184.24,118991,306
3,11,2.15,185.47,183.32,115390,1985
4,11,2.6,186.93,184.33,121779,867
5,11,1.7,181.07,179.37,119576,783
6,11,2.6,189.02,186.42,116980,752
7,11,2.34,183.42,181.08,120425,778
8,11,2.65,189.78,187.12,121649,3190
9,11,2.61,179.41,176.8,114975,2394
10,11,1.72,175.87,174.16,108698,1817
